epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,44.6141,1.69562,2.59126,1.64496,0.6658,0.31038,0.38982,0.19932,1.44225,2.52209,1.52792,0.00990476,0.00330159,0.00990476,0.00330159,0.00990476,0.00330159,0.00990476,0.00330159
2,84.0061,1.54145,1.85554,1.48882,0.38895,0.23227,0.1997,0.08843,1.80357,2.6763,1.88169,0.0198555,0.0066185,0.0198555,0.0066185,0.0198555,0.0066185,0.0198555,0.0066185
3,119.879,1.59526,1.71889,1.51909,0.27672,0.2518,0.16529,0.05558,2.05799,2.64053,2.25895,0.0297567,0.00991891,0.0297567,0.00991891,0.0297567,0.00991891,0.0297567,0.00991891
4,155.818,1.66057,1.72349,1.5881,0.44938,0.36823,0.34936,0.16511,1.71011,2.42108,1.70143,0.0297773,0.00992575,0.0297773,0.00992575,0.0297773,0.00992575,0.0297773,0.00992575
5,191.538,1.62176,1.62148,1.56071,0.55014,0.47071,0.46538,0.21837,1.65325,3.00476,1.61481,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
6,227.146,1.60101,1.53281,1.54549,0.64787,0.50051,0.54453,0.25208,1.65721,1.70647,1.64464,0.0296288,0.00987625,0.0296288,0.00987625,0.0296288,0.00987625,0.0296288,0.00987625
7,262.569,1.55587,1.46596,1.51792,0.61991,0.56823,0.59981,0.29566,1.55491,1.73926,1.5601,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
8,298.418,1.52042,1.39836,1.49948,0.6448,0.51867,0.57213,0.28636,1.58773,1.53112,1.54327,0.0294802,0.00982675,0.0294802,0.00982675,0.0294802,0.00982675,0.0294802,0.00982675
9,334.282,1.48679,1.34354,1.48388,0.62692,0.53237,0.57067,0.29124,1.57436,2.21717,1.52057,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
10,370.074,1.45993,1.31412,1.45004,0.57081,0.55498,0.54781,0.26227,1.61065,1.72843,1.61105,0.0293318,0.00977725,0.0293318,0.00977725,0.0293318,0.00977725,0.0293318,0.00977725
11,405.746,1.4463,1.28671,1.45572,0.73478,0.60363,0.67997,0.38418,1.41367,1.31463,1.46339,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
12,441.552,1.41503,1.25171,1.42839,0.74582,0.68154,0.75255,0.42689,1.37015,1.12559,1.39811,0.0291833,0.00972775,0.0291833,0.00972775,0.0291833,0.00972775,0.0291833,0.00972775
13,477.256,1.41636,1.21423,1.42479,0.73901,0.63823,0.72076,0.40653,1.39823,1.20255,1.42679,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
